Time,GRW1.F,,,GRW1.M,,,GRW1,,,GRW1.DA,,,GRW2.F,,,GRW2.M,,,GRW2,,,GRW2.DA,,
s,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,deg,deg,deg,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,deg,deg,deg
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.01,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.02,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.03,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.04,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.05,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.06,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.07,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.08,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.09,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.1,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.11,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.12,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.13,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.14,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.15,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.16,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.17,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.18,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.19,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.2,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.21,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.22,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.23,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.24,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.25,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.26,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.27,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.28,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.29,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.3,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.31,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.32,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.33,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.34,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.35,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.36,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.37,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.38,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.39,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.4,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.41,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.42,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.43,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.44,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.45,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.46,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.47,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.48,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.49,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.5,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.51,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.52,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.53,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.54,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.55,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.56,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.57,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.58,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.59,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.6,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.61,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.62,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.63,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.64,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.65,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.66,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.67,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.68,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.69,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.7,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.71,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.72,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.73,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.74,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.75,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.76,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.77,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.78,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.79,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.8,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.81,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.82,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.83,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.84,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.85,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.86,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.87,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.88,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.89,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.9,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.91,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.92,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.93,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.94,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.95,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.96,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.97,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.98,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
0.99,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.01,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.02,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.03,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.04,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.05,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.06,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.07,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.08,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.09,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.1,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.11,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.12,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.13,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.14,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.15,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.16,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.17,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.18,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.19,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.2,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.21,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.22,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.23,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.24,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.25,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.26,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.27,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.28,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.29,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.3,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.31,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.32,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.33,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.34,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.35,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.36,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.37,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.38,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.39,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.4,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.41,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.42,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.43,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.44,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.45,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.46,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.47,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.48,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.49,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.5,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.51,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.52,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.53,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.54,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.55,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.56,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.57,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.58,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.59,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.6,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.61,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.62,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.63,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.64,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.65,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.66,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.67,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.68,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.69,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.7,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.71,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.72,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.73,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.74,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.75,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.76,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.77,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.78,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.79,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.8,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.81,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.82,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.83,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.84,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.85,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.86,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.87,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.88,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.89,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.9,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.91,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.92,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.93,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.94,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.95,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.96,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.97,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.98,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
1.99,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.01,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.02,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.03,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.04,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.05,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.06,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.07,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
2.08,0,-0,0,0,0,0,-190,320,0,180,0,360,0,-0,0,0,0,0,-50,-290,0,180,0,360
